Dealer,Destination,PreferenceOrder,TransportCompanyId,TransportCompanyName,TruckNumber,SupplierRating,BankGuarantee
ABCO,Coffs Harbour (NSW),1,,Wardys,1,9.0,No
ABCO,Coffs Harbour (NSW),2,,RV Transport,7,9.8,No
ABCO,Coffs Harbour (NSW),3,,AC Transport,13,9.4,No
ABCO,Coffs Harbour (NSW),4,,Steve Watts,1,9.4,No
ABCO,Coffs Harbour (NSW),5,,Brohood,3,6.7,Yes
ABCO,Coffs Harbour (NSW),6,,Captivation,1,8.9,No
ABCO,Coffs Harbour (NSW),7,,Straightshot,1,8.5,Yes
ABCO,Coffs Harbour (NSW),8,,Rescue 6 Towing,3,8.6,No
Snowy Newcastle,Heatherbrae (NSW),1,,Wardys,1,9.0,No
Snowy Newcastle,Heatherbrae (NSW),2,,MJO,2,9.1,No
Snowy Newcastle,Heatherbrae (NSW),3,,Brohood,3,6.7,Yes
Snowy Newcastle,Heatherbrae (NSW),4,,Captivation,1,8.9,No
Snowy Newcastle,Heatherbrae (NSW),5,,RV Transport,7,9.8,No
Snowy Newcastle,Heatherbrae (NSW),6,,AC Transport,13,9.4,No
Snowy Newcastle,Heatherbrae (NSW),7,,LDA,6,6.4,Yes
Snowy Newcastle,Heatherbrae (NSW),8,,Straightshot,1,8.5,Yes
Newcastle RV,Beresfield (NSW),1,,Wardys,1,9.0,No
Newcastle RV,Beresfield (NSW),2,,MJO,2,9.1,No
Newcastle RV,Beresfield (NSW),3,,Brohood,3,6.7,Yes
Newcastle RV,Beresfield (NSW),4,,Captivation,1,8.9,No
Newcastle RV,Beresfield (NSW),5,,RV Transport,7,9.8,No
Newcastle RV,Beresfield (NSW),6,,AC Transport,13,9.4,No
Newcastle RV,Beresfield (NSW),7,,LDA,6,6.4,Yes
Newcastle RV,Beresfield (NSW),8,,BCT,7,5.3,Yes
Auswide,Nowra (NSW),1,,Wardys,1,9.0,No
Auswide,Nowra (NSW),2,,MJO,2,9.1,No
Auswide,Nowra (NSW),3,,Brohood,3,6.7,Yes
Auswide,Nowra (NSW),4,,RV Transport,7,9.8,No
Auswide,Nowra (NSW),5,,Captivation,1,8.9,No
Auswide,Nowra (NSW),6,,AC Transport,13,9.4,No
Auswide,Nowra (NSW),7,,Rescue 6 Towing,3,8.6,No
Auswide,Nowra (NSW),8,,,
Caravan Hub,Townsville (QLD),1,,Wardys,1,9.0,No
Caravan Hub,Townsville (QLD),2,,MJO,2,9.1,No
Caravan Hub,Townsville (QLD),3,,Brohood,3,6.7,Yes
Caravan Hub,Townsville (QLD),4,,CBC,60,8.2,Yes
Caravan Hub,Townsville (QLD),5,,Steve Watts,1,9.4,No
Caravan Hub,Townsville (QLD),6,,Rescue 6 Towing,3,8.6,No
Caravan Hub,Townsville (QLD),7,,LDA,6,6.4,Yes
Caravan Hub,Townsville (QLD),8,,,
NEWGEN,Gympie (QLD),1,,Wardys,1,9.0,No
NEWGEN,Gympie (QLD),2,,MJO,2,9.1,No
NEWGEN,Gympie (QLD),3,,LDA,6,6.4,Yes
NEWGEN,Gympie (QLD),4,,Captivation,1,8.9,No
NEWGEN,Gympie (QLD),5,,RV Transport,7,9.8,No
NEWGEN,Gympie (QLD),6,,Straightshot,1,8.5,Yes
NEWGEN,Gympie (QLD),7,,Rescue 6 Towing,3,8.6,No
NEWGEN,Gympie (QLD),8,,,
GreenRV (Forest Glen),Forest Glen (QLD),1,,Wardys,1,9.0,No
GreenRV (Forest Glen),Forest Glen (QLD),2,,MJO,2,9.1,No
GreenRV (Forest Glen),Forest Glen (QLD),3,,Brohood,3,6.7,Yes
GreenRV (Forest Glen),Forest Glen (QLD),4,,LDA,6,6.4,Yes
GreenRV (Forest Glen),Forest Glen (QLD),5,,Steve Watts,1,9.4,No
GreenRV (Forest Glen),Forest Glen (QLD),6,,AC Transport,,9.4,No
GreenRV (Forest Glen),Forest Glen (QLD),7,,,
GreenRV (Forest Glen),Forest Glen (QLD),8,,,
GreenRV (Slacks Creek),Slacks Creek (QLD),1,,Wardys,1,9.0,No
GreenRV (Slacks Creek),Slacks Creek (QLD),2,,MJO,2,9.1,No
GreenRV (Slacks Creek),Slacks Creek (QLD),3,,LDA,6,6.4,Yes
